[2025-08-09 08:09:51.544] 2025 Aug  6 07:41:36 prplOS ssh_server: [USER][SYSTEM] - [!][Authentication][SSH][SUCCESS] User='root'
[2025-08-09 08:09:51.545] 2025 Aug  6 07:41:36 prplOS TEST: WebUI testing framework initialized
[2025-08-09 08:09:51.546] 2025 Aug  6 07:41:37 prplOS ssh_server: [USER][SYSTEM] - [!][Authentication][SSH][SUCCESS] User='root'
[2025-08-09 08:09:51.547] 2025 Aug  6 07:41:38 prplOS ssh_server: [USER][SYSTEM] - [!][Authentication][SSH][SUCCESS] User='root'
[2025-08-09 08:10:00.547] 2025 Aug  6 07:41:46 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:10:10.548] 2025 Aug  6 07:41:56 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:10:20.551] 2025 Aug  6 07:42:06 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:10:20.552] 2025 Aug  6 07:42:06 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:10:30.550] 2025 Aug  6 07:42:16 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:10:40.551] 2025 Aug  6 07:42:26 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:10:50.553] 2025 Aug  6 07:42:36 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:00.553] 2025 Aug  6 07:42:46 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:04.554] 2025 Aug  6 07:42:50 prplOS netdev-plugin: netdev  - [x]No neigh provided to find route - (neigh_bind_to_defroute@dm_link_route.c:840)
[2025-08-09 08:11:04.556] 2025 Aug  6 07:42:50 prplOS netdev-plugin: netdev  - [x]No neigh provided to find route - (neigh_bind_to_defroute@dm_link_route.c:840)
[2025-08-09 08:11:04.556] 2025 Aug  6 07:42:50 prplOS netdev-plugin: netdev  - [x]No matching neighbour found to delete - (handleDelNeigh@dm_link_neigh.c:469)
[2025-08-09 08:11:10.555] 2025 Aug  6 07:42:56 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:20.556] 2025 Aug  6 07:43:06 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:23.556] 2025 Aug  6 07:43:09 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:11:30.557] 2025 Aug  6 07:43:16 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:40.558] 2025 Aug  6 07:43:26 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:11:50.560] 2025 Aug  6 07:43:36 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:00.560] 2025 Aug  6 07:43:46 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:10.562] 2025 Aug  6 07:43:56 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:20.564] 2025 Aug  6 07:44:06 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:26.564] 2025 Aug  6 07:44:12 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:12:30.566] 2025 Aug  6 07:44:16 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:40.567] 2025 Aug  6 07:44:26 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:12:50.569] 2025 Aug  6 07:44:36 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:13:00.570] 2025 Aug  6 07:44:46 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
[2025-08-09 08:13:10.571] 2025 Aug  6 07:44:56 prplOS obuspa[5897]: can_mtp_connect: Not connecting to Controller ACS as NTP time has not been acquired (time_status=Unsynchronized)
